epoch,box,cls,obj,Recall,Precision,mAP@50,F1,mAP
186,1.030,1.095,2.371,0.432,0.599,0.468,0.475,0.294
187,1.026,1.090,2.364,0.435,0.589,0.467,0.475,0.294
188,1.030,1.094,2.365,0.434,0.594,0.468,0.475,0.294
189,1.031,1.092,2.362,0.434,0.594,0.468,0.476,0.295
190,1.036,1.094,2.368,0.433,0.596,0.468,0.476,0.295
191,1.028,1.090,2.361,0.435,0.592,0.469,0.477,0.295
192,1.030,1.090,2.363,0.435,0.596,0.468,0.477,0.295
193,1.030,1.094,2.367,0.433,0.596,0.468,0.476,0.296
194,1.026,1.085,2.351,0.435,0.591,0.468,0.476,0.295
195,1.033,1.096,2.367,0.437,0.588,0.470,0.477,0.296
196,1.034,1.093,2.365,0.434,0.592,0.470,0.476,0.296
197,1.024,1.088,2.352,0.435,0.592,0.470,0.476,0.296
198,1.029,1.089,2.357,0.437,0.591,0.470,0.477,0.296
199,1.027,1.085,2.349,0.437,0.592,0.470,0.477,0.296
200,1.026,1.086,2.354,0.435,0.598,0.471,0.478,0.297
201,1.024,1.085,2.348,0.434,0.598,0.471,0.478,0.297
202,1.023,1.084,2.341,0.433,0.598,0.471,0.478,0.297
203,1.034,1.089,2.359,0.436,0.593,0.471,0.478,0.297
204,1.026,1.082,2.344,0.443,0.581,0.473,0.479,0.299
205,1.024,1.083,2.342,0.442,0.582,0.472,0.478,0.298
206,1.027,1.086,2.343,0.439,0.589,0.471,0.478,0.297
207,1.023,1.083,2.338,0.437,0.594,0.473,0.479,0.298
208,1.026,1.084,2.343,0.442,0.585,0.473,0.479,0.299
209,1.026,1.086,2.342,0.442,0.583,0.473,0.479,0.298
210,1.026,1.085,2.344,0.440,0.587,0.474,0.478,0.299
211,1.026,1.083,2.340,0.441,0.585,0.474,0.479,0.299
212,1.028,1.087,2.348,0.444,0.580,0.473,0.479,0.299
213,1.025,1.084,2.339,0.443,0.581,0.473,0.479,0.299
214,1.026,1.087,2.344,0.442,0.584,0.474,0.479,0.299
215,1.020,1.075,2.329,0.443,0.584,0.473,0.480,0.299
216,1.025,1.084,2.338,0.443,0.587,0.474,0.481,0.300
217,1.020,1.077,2.328,0.438,0.599,0.474,0.480,0.300
218,1.024,1.082,2.334,0.445,0.583,0.474,0.481,0.300
219,1.022,1.074,2.324,0.442,0.589,0.475,0.480,0.300
220,1.027,1.088,2.343,0.443,0.584,0.475,0.480,0.300
221,1.017,1.076,2.320,0.438,0.598,0.475,0.480,0.301
222,1.021,1.075,2.324,0.438,0.605,0.475,0.482,0.301
223,1.022,1.081,2.331,0.439,0.602,0.475,0.482,0.301
224,1.024,1.080,2.334,0.438,0.603,0.476,0.482,0.301
225,1.022,1.076,2.329,0.441,0.601,0.476,0.483,0.302
226,1.026,1.082,2.334,0.443,0.597,0.476,0.483,0.301
227,1.016,1.072,2.316,0.443,0.599,0.476,0.484,0.302
228,1.024,1.080,2.331,0.444,0.596,0.477,0.484,0.302
229,1.021,1.078,2.330,0.444,0.591,0.476,0.483,0.302
230,1.021,1.077,2.324,0.444,0.591,0.476,0.483,0.302
231,1.022,1.076,2.320,0.444,0.593,0.477,0.483,0.302
232,1.020,1.074,2.319,0.444,0.593,0.477,0.483,0.302
233,1.020,1.072,2.319,0.442,0.595,0.476,0.483,0.303
234,1.021,1.075,2.319,0.440,0.598,0.477,0.483,0.303
235,1.021,1.078,2.325,0.441,0.596,0.477,0.483,0.303
236,1.019,1.071,2.311,0.445,0.592,0.477,0.485,0.302
237,1.017,1.075,2.313,0.444,0.595,0.477,0.485,0.302
238,1.015,1.071,2.307,0.446,0.591,0.477,0.486,0.303
239,1.023,1.079,2.323,0.447,0.591,0.478,0.485,0.303
240,1.018,1.073,2.311,0.447,0.586,0.478,0.484,0.303
241,1.017,1.069,2.305,0.447,0.584,0.478,0.484,0.303
242,1.017,1.072,2.311,0.446,0.588,0.478,0.485,0.303
243,1.018,1.071,2.309,0.442,0.596,0.478,0.485,0.304
244,1.017,1.071,2.307,0.444,0.592,0.478,0.484,0.304
245,1.017,1.073,2.309,0.445,0.588,0.478,0.484,0.304
246,1.015,1.067,2.303,0.452,0.574,0.479,0.484,0.304
247,1.019,1.071,2.309,0.455,0.571,0.479,0.485,0.304
248,1.016,1.069,2.305,0.453,0.576,0.479,0.485,0.304
249,1.017,1.070,2.310,0.448,0.588,0.479,0.486,0.303
250,1.016,1.068,2.302,0.447,0.589,0.479,0.486,0.304
251,1.012,1.070,2.301,0.448,0.590,0.479,0.486,0.304
252,1.018,1.070,2.303,0.447,0.595,0.480,0.487,0.304
253,1.018,1.069,2.304,0.445,0.594,0.480,0.486,0.304
254,1.012,1.066,2.293,0.444,0.596,0.480,0.486,0.304
255,1.016,1.070,2.301,0.442,0.602,0.480,0.486,0.305
256,1.012,1.065,2.294,0.443,0.602,0.480,0.486,0.305
257,1.011,1.067,2.296,0.443,0.599,0.480,0.485,0.305
258,1.014,1.065,2.297,0.444,0.601,0.480,0.486,0.305
259,1.012,1.064,2.290,0.443,0.602,0.481,0.486,0.306
260,1.014,1.066,2.293,0.445,0.600,0.481,0.487,0.306
261,1.015,1.067,2.291,0.449,0.589,0.480,0.486,0.306
262,1.017,1.072,2.300,0.450,0.587,0.481,0.487,0.306
263,1.010,1.062,2.286,0.449,0.588,0.481,0.486,0.306
264,1.013,1.068,2.295,0.444,0.603,0.481,0.487,0.306
265,1.014,1.064,2.292,0.446,0.600,0.481,0.488,0.306
266,1.014,1.066,2.294,0.443,0.607,0.482,0.488,0.306
267,1.011,1.064,2.290,0.444,0.606,0.482,0.488,0.306
268,1.011,1.064,2.287,0.448,0.591,0.482,0.486,0.306
269,1.010,1.064,2.286,0.447,0.594,0.482,0.486,0.306
270,1.012,1.062,2.285,0.448,0.592,0.481,0.487,0.306
271,1.011,1.064,2.290,0.446,0.592,0.481,0.486,0.306
272,1.008,1.059,2.275,0.448,0.591,0.481,0.486,0.306
273,1.012,1.062,2.283,0.449,0.588,0.481,0.486,0.307
274,1.013,1.063,2.280,0.451,0.587,0.482,0.488,0.307
275,1.011,1.058,2.278,0.449,0.593,0.482,0.488,0.306
276,1.006,1.055,2.272,0.448,0.594,0.481,0.488,0.306
277,1.005,1.057,2.275,0.443,0.607,0.481,0.489,0.307
278,1.007,1.056,2.276,0.444,0.602,0.482,0.488,0.307
279,1.008,1.057,2.275,0.444,0.603,0.481,0.488,0.307
280,1.009,1.059,2.278,0.444,0.599,0.482,0.488,0.307
281,1.005,1.054,2.269,0.443,0.598,0.482,0.487,0.307
282,1.010,1.057,2.276,0.445,0.598,0.482,0.487,0.307
283,1.006,1.054,2.269,0.450,0.590,0.482,0.488,0.307
284,1.009,1.059,2.274,0.449,0.595,0.483,0.489,0.307
285,1.009,1.055,2.271,0.448,0.596,0.483,0.489,0.307
286,1.010,1.058,2.277,0.451,0.590,0.483,0.489,0.307
287,1.006,1.056,2.270,0.450,0.590,0.482,0.489,0.307
288,1.005,1.055,2.265,0.455,0.581,0.483,0.489,0.307
289,1.005,1.052,2.265,0.451,0.584,0.483,0.488,0.307
290,1.009,1.056,2.266,0.450,0.583,0.482,0.486,0.307
291,1.008,1.058,2.270,0.449,0.587,0.482,0.487,0.307
292,1.008,1.057,2.266,0.452,0.588,0.483,0.489,0.307
293,1.005,1.054,2.260,0.451,0.588,0.483,0.488,0.307
294,1.008,1.054,2.267,0.450,0.595,0.484,0.490,0.308
295,1.005,1.051,2.262,0.451,0.592,0.484,0.490,0.307
296,1.003,1.051,2.258,0.453,0.586,0.484,0.489,0.307
297,1.005,1.050,2.260,0.454,0.584,0.484,0.491,0.307
298,1.006,1.051,2.258,0.455,0.588,0.484,0.492,0.308
299,1.000,1.047,2.251,0.454,0.588,0.485,0.492,0.308
300,1.004,1.050,2.255,0.454,0.593,0.485,0.494,0.308
301,1.005,1.053,2.261,0.453,0.589,0.484,0.493,0.308
302,1.004,1.051,2.261,0.455,0.585,0.484,0.493,0.307
303,1.004,1.050,2.257,0.453,0.591,0.484,0.493,0.308
304,1.005,1.049,2.255,0.453,0.590,0.485,0.493,0.308
305,1.002,1.051,2.253,0.455,0.584,0.484,0.492,0.308
306,0.998,1.050,2.251,0.455,0.587,0.485,0.493,0.309
307,1.002,1.050,2.252,0.453,0.590,0.485,0.493,0.308
308,1.007,1.048,2.254,0.450,0.593,0.485,0.490,0.308
309,1.003,1.046,2.250,0.451,0.596,0.485,0.493,0.308
310,0.995,1.042,2.244,0.453,0.591,0.485,0.493,0.308
311,1.003,1.048,2.250,0.452,0.592,0.485,0.493,0.308
312,1.000,1.046,2.244,0.450,0.594,0.485,0.490,0.309
313,1.001,1.045,2.248,0.450,0.593,0.485,0.490,0.309
314,0.997,1.041,2.231,0.446,0.603,0.486,0.491,0.309
315,0.999,1.045,2.243,0.446,0.599,0.486,0.490,0.309
316,0.998,1.039,2.237,0.446,0.602,0.486,0.491,0.309
317,1.002,1.046,2.246,0.445,0.604,0.487,0.491,0.309
318,0.996,1.041,2.238,0.447,0.599,0.487,0.491,0.309
319,1.000,1.041,2.236,0.446,0.604,0.487,0.492,0.310
320,1.003,1.046,2.247,0.449,0.601,0.488,0.492,0.310
321,0.996,1.041,2.235,0.453,0.590,0.487,0.492,0.310
322,1.001,1.041,2.240,0.457,0.587,0.487,0.493,0.310
323,1.003,1.046,2.243,0.453,0.592,0.488,0.492,0.311
324,0.999,1.044,2.239,0.453,0.596,0.489,0.494,0.311
325,0.998,1.040,2.237,0.456,0.593,0.489,0.496,0.310
326,0.994,1.038,2.232,0.456,0.592,0.488,0.496,0.311
327,0.999,1.042,2.240,0.458,0.589,0.488,0.497,0.311
328,0.999,1.040,2.237,0.454,0.597,0.489,0.496,0.311
329,0.994,1.037,2.224,0.455,0.597,0.488,0.497,0.311
330,0.996,1.038,2.230,0.454,0.595,0.488,0.494,0.311
331,0.998,1.037,2.227,0.454,0.596,0.489,0.494,0.312
332,0.996,1.038,2.226,0.454,0.593,0.489,0.494,0.312
333,0.995,1.032,2.223,0.455,0.591,0.489,0.493,0.312
334,0.999,1.042,2.230,0.452,0.596,0.489,0.494,0.312
335,0.992,1.036,2.226,0.448,0.603,0.490,0.493,0.313
336,0.997,1.037,2.232,0.445,0.610,0.489,0.493,0.313
337,0.993,1.037,2.222,0.447,0.610,0.489,0.494,0.313
338,0.995,1.037,2.228,0.452,0.598,0.490,0.494,0.313
339,0.992,1.036,2.226,0.450,0.603,0.490,0.494,0.313
340,0.999,1.038,2.231,0.452,0.598,0.489,0.494,0.313
341,0.994,1.035,2.226,0.454,0.596,0.490,0.495,0.313
342,0.998,1.039,2.227,0.453,0.600,0.490,0.497,0.313
343,0.996,1.037,2.219,0.458,0.593,0.490,0.499,0.313
344,0.994,1.031,2.214,0.454,0.597,0.490,0.498,0.313
345,0.992,1.035,2.220,0.454,0.600,0.490,0.499,0.313
346,0.998,1.037,2.225,0.453,0.603,0.490,0.498,0.313
347,0.993,1.033,2.215,0.454,0.599,0.490,0.498,0.313
348,0.992,1.030,2.215,0.454,0.600,0.490,0.498,0.313
349,0.990,1.031,2.215,0.453,0.602,0.490,0.498,0.312
350,0.991,1.028,2.210,0.451,0.603,0.490,0.497,0.312
351,0.990,1.030,2.205,0.459,0.589,0.490,0.498,0.312
352,0.995,1.033,2.216,0.455,0.598,0.491,0.498,0.313
353,0.990,1.028,2.206,0.457,0.594,0.491,0.498,0.313
354,0.994,1.031,2.212,0.457,0.595,0.490,0.499,0.312
355,0.989,1.028,2.206,0.456,0.595,0.491,0.498,0.313
356,0.992,1.030,2.212,0.457,0.593,0.491,0.498,0.313
357,0.986,1.026,2.201,0.458,0.594,0.491,0.498,0.313
358,0.989,1.027,2.207,0.456,0.597,0.491,0.499,0.313
359,0.992,1.027,2.207,0.457,0.593,0.491,0.498,0.313
360,0.988,1.027,2.205,0.455,0.598,0.491,0.499,0.313
361,0.990,1.029,2.206,0.454,0.604,0.491,0.499,0.313
362,0.990,1.027,2.205,0.454,0.605,0.492,0.500,0.314
363,0.989,1.026,2.202,0.453,0.610,0.494,0.501,0.314
364,0.986,1.025,2.199,0.457,0.606,0.493,0.503,0.315
365,0.984,1.019,2.192,0.457,0.605,0.493,0.503,0.314
366,0.991,1.031,2.207,0.456,0.607,0.492,0.502,0.314
367,0.992,1.025,2.204,0.457,0.603,0.492,0.502,0.314
368,0.985,1.023,2.191,0.458,0.599,0.493,0.501,0.314
369,0.987,1.024,2.200,0.456,0.604,0.492,0.501,0.314
370,0.986,1.024,2.196,0.457,0.603,0.493,0.502,0.314
371,0.988,1.028,2.202,0.460,0.596,0.493,0.502,0.315
372,0.987,1.023,2.194,0.462,0.591,0.493,0.501,0.315
373,0.985,1.018,2.187,0.461,0.599,0.493,0.503,0.315
374,0.988,1.025,2.195,0.462,0.594,0.494,0.502,0.316
375,0.988,1.022,2.191,0.461,0.594,0.494,0.501,0.316
376,0.986,1.020,2.190,0.461,0.593,0.495,0.502,0.316
377,0.984,1.019,2.191,0.461,0.590,0.494,0.501,0.316
378,0.983,1.018,2.181,0.465,0.584,0.495,0.501,0.316
379,0.988,1.026,2.195,0.468,0.582,0.495,0.502,0.317
380,0.987,1.020,2.187,0.465,0.583,0.494,0.501,0.316
381,0.987,1.024,2.193,0.464,0.585,0.494,0.501,0.316
382,0.982,1.016,2.181,0.463,0.589,0.494,0.502,0.315
